OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
2662229,04092018647,Five Guys #0368,8107 Creedmoor RD ,Ste 100,RALEIGH,NC,27613,(919) 844-7057,2021/06/07 04:00:00+00,Restaurant,344,-78.68116797,35.89788799,M
2662230,04092017193,CRAFTY BEER SHOP,8450 HONEYCUTT RD ,Suite 108,RALEIGH,NC,27615,(919) 703-0874,2016/04/05 04:00:00+00,Restaurant,350,-78.62166097,35.89510574,M
2662231,04092018657,Coffee & Crepes,315 Crossroads BLVD ,,CARY,NC,27511,(919) 233-0288,2021/06/22 04:00:00+00,Restaurant,352,-78.73871452,35.76064286,M
2662232,04092160080,ZEBULON REHABILITATION CENTER FOOD SERVICE,509 W GANNON AVE.,,ZEBULON,NC,27597,(919) 269-9621,2014/06/04 04:00:00+00,Institutional Food Service,353,-78.32569568,35.81964939,M
2662233,04092016263,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 436-3995,2012/09/20 04:00:00+00,Restaurant,359,-78.70609774,35.86074545,M
2662234,04092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,C110,RALEIGH,NC,27609,(919) 881-2590,2012/09/21 04:00:00+00,Restaurant,360,-78.63994726,35.83691426,M
2662235,04092018287,Zanyu Asian Noodles,8450 HONEYCUTT RD ,STE. 112,RALEIGH,NC,27615,(919) 803-1340,2020/01/07 05:00:00+00,Restaurant,363,-78.62166097,35.89510574,M
2662236,04092025378,Wingstop #2032,1619 CROSS LINK RD,,RALEIGH,NC,27610,(919) 977-4111,2021/08/17 04:00:00+00,Food Stand,391,-78.61481064,35.75482608,M
2662237,04092017534,YUMMY HIBACHI,"7110 KNIGHTDALE BLVD, STE P",,KNIGHTDALE,NC,27545,(919) 373-0325,2017/03/09 05:00:00+00,Restaurant,394,-78.4899936,35.79638702,M
2662238,04092015915,SUBWAY #50592,601 N MAIN ST ,,HOLLY SPRINGS,NC,27545,(919) 557-4411,2011/03/17 04:00:00+00,Restaurant,419,-78.83661982,35.66097455,M
2662239,04092015917,THAI CAFE #2,3309 ROGERS RD ,,WAKE FOREST,NC,27587,(919) 453-1679,2011/03/23 04:00:00+00,Restaurant,421,-78.51539227,35.95073353,M
2662240,04092017327,Chipotle  #2822,1081 PINE PLAZA DR ,,APEX,NC,27502,(919) 362-5435,2016/09/20 04:00:00+00,Restaurant,423,-78.82939266,35.74657076,M
2662241,04092015101,Michelangelos,7280 GB Alford  HWY ,,HOLLY SPRINGS,NC,27540,(919) 557-4992,2008/03/26 04:00:00+00,Restaurant,432,-78.83292783,35.63500069,M
2662242,04092014520,El Tapatio #4,4511 New Bern AVE,,RALEIGH,NC,27610,(919) 255-9161,2006/03/09 05:00:00+00,Restaurant,446,-78.55938498,35.79875761,M
2662243,04092018700,Chick-fil-A #01488,220 SHENSTONE BLVD ,,GARNER,NC,27529,,2021/08/28 04:00:00+00,Restaurant,447,-78.58261702,35.69212111,M
2662244,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Restaurant,450,-78.82726689,35.7464159,M
2662245,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,44,-78.63891855,35.83824655,M
2662246,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,111,-78.63891855,35.83824655,M
2662247,04092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,,RALEIGH,NC,27610,(919) 516-5111,2017/03/01 05:00:00+00,Restaurant,132,-78.61376,35.75438832,M
2662248,04092016702,China Wok,7440-143 Louisburg RD ,,RALEIGH,NC,27616,(919) 862-9898,2014/05/28 04:00:00+00,Restaurant,232,-78.54049905,35.87559319,M
2662249,04092018646,Five Guys #1797,1075 Pine Plaza BLVD ,,APEX,NC,27523,(919) 616-0011,2021/06/07 04:00:00+00,Restaurant,290,-78.82917015,35.7478436,M
2662250,04092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,,CARY,NC,27511,(919) 800-1802,2020/01/27 05:00:00+00,Restaurant,451,-78.78193974,35.75976658,M
2662251,04092021875,HL Catering Primary Shared Kitchen,1012 OBERLIN RD ,,RALEIGH,NC,27605,(919) 675-1854,2015/09/29 04:00:00+00,Food Stand,452,-78.65955263,35.79661923,M
2662252,04092017178,RALEIGH RAW,7 W HARGETT ST ,,RALEIGH,NC,27601,(919) 400-0944,2016/03/14 04:00:00+00,Restaurant,453,-78.63957991,35.77810063,M
2662253,04092018368,D's Bottle Shop,13200 Falls of Neuse RD ,STE 115,RALEIGH,NC,27614,(919) 435-7034,2020/05/20 04:00:00+00,Restaurant,455,-78.55981965,35.9407555,M
2662254,04092021888,LOWES FOODS #191 BEEF SHOP,9600 STRICKLAND RD ,,RALEIGH,NC,27615,(919) 847-5661,2015/10/02 04:00:00+00,Food Stand,457,-78.65568292,35.90277448,M
2662255,04092021954,EDIBLE ARRANGEMENTS #365-CARY,207 CROSSROADS BLVD ,,CARY,NC,27511,(919) 851-7065,2016/04/15 04:00:00+00,Food Stand,459,-78.73871452,35.76064286,M
2662256,04092021896,FOOD LION #1481 PRODUCE,7713 LEAD MINE RD ,,RALEIGH,NC,27615,(919) 518-1607,2015/10/21 04:00:00+00,Food Stand,462,-78.66044244,35.88617531,T
2662257,04092018656,Brookfields Indoor Golf & Lounge,1839 S Main ST ,,WAKE FOREST,NC,27587,(984) 235-1722,2021/06/17 04:00:00+00,Restaurant,475,-78.52626448,35.95102854,M
2662258,04092016807,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,,CARY,NC,27519,(919) 371-2693,2014/11/13 05:00:00+00,Restaurant,491,-78.88824644,35.84415135,M
2662259,04092016265,ACRO CAFE,11 W JONES ST ,,RALEIGH,NC,27601,(919) 733-7450,2012/09/14 04:00:00+00,Restaurant,492,-78.63943083,35.78220511,M
2662260,04092025295,PIZZA HUT #1303,1009 E Broad ST ,,FUQUAY-VARINA,NC,27526,(919) 552-0771,2019/12/04 05:00:00+00,Food Stand,496,-78.78267467,35.59365948,M
2662261,04092016809,NIGHT KITCHEN BAKERY,10 W FRANKLIN STREET,,RALEIGH,NC,27604,(984) 232-8907,2014/11/10 05:00:00+00,Restaurant,504,-78.63999982,35.78944822,M
2662262,04092021583,HARRIS TEETER #311 PRODUCE,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 04:00:00+00,Food Stand,507,-78.83920919,35.6398791,M
2662263,04092018254,Teriyaki Madness,160 SHENSTONE BLVD,,GARNER,NC,27529,,2019/12/02 05:00:00+00,Restaurant,515,-78.58054205,35.69110315,M
2662264,04092025275,LOVE BAO TAIWANESE KITCHEN,1961 High House RD ,,CARY,NC,27519,(919) 622-3586,2019/07/22 04:00:00+00,Food Stand,518,-78.84865444,35.78921622,M
2662265,04092016797,HYATT HOUSE FOOD SERVICE,10962 CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 388-5355,2014/11/12 05:00:00+00,Restaurant,541,-78.84052711,35.85506763,M
2662266,04092018268,COMFORT INN OF FUQUAY BREAKFAST,7616 PURFOY RD ,,FUQUAY VARINA,NC,27526,(919) 557-9000,2019/12/13 05:00:00+00,Restaurant,543,-78.77411286,35.59000199,M
2662267,04092021887,FOOD LION #1459 PRODUCE,1508 BROAD ST ,,FUQUAY-VARINA,NC,27526,(919) 577-1000,2015/09/25 04:00:00+00,Food Stand,502,-78.80356197,35.60352165,T
2662268,04092016663,Bojangles #5,3301 S Wilmington ST ,,RALEIGH,NC,27603,(919) 772-4512,2014/04/08 04:00:00+00,Restaurant,545,-78.64980268,35.73506324,M
2662269,04092025276,Square Burgers,225 E MARTIN ST ,,RALEIGH,NC,27601-1316,(919) 896-6600,2019/07/29 04:00:00+00,Food Stand,516,-78.63544584,35.77685868,M
2662270,04092018239,Mezeh Grill,2316 HILLSBOROUGH ST,106,RALEIGH,NC,27607-7384,(919) 386-3435,2019/11/22 05:00:00+00,Restaurant,551,-78.66664805,35.78770631,M
2662271,04092025349,Bourbon Street Kitchen,4325 GLENWOOD AVE,Suite 2055,RALEIGH,NC,27612,,2021/03/25 04:00:00+00,Food Stand,566,-78.68184484,35.84183815,T
2662272,04092016117,JASMIN BISTRO,3801 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 835-1626,2012/02/29 05:00:00+00,Restaurant,579,-78.68856288,35.79387274,M
2662273,04092017330,GALAXY FUN PARK,14460 FALLS OF NEUSE RD ,,RALEIGH,NC,27614,(919) 584-4000,2016/09/19 04:00:00+00,Restaurant,584,-78.54362008,35.94386602,M
2662274,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 04:00:00+00,Food Stand,597,-78.83920919,35.6398791,M
2662275,04092015089,BRUEGGERS BAGELS #143,7550-106 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 848-4902,2008/03/28 04:00:00+00,Restaurant,527,-78.67969753,35.88944343,M
2662276,04092021897,FOOD LION #1482 PRODUCE,5426 SIX FORKS RD ,,RALEIGH,NC,27609,(919) 676-3386,2015/10/22 04:00:00+00,Food Stand,603,-78.64059702,35.85499105,M
2662277,04092110486,ROOT ELEMENTARY CAFETERIA,3202 NORTHAMPTON ST ,,RALEIGH,NC,27609,(919) 881-4940,2009/09/14 04:00:00+00,Public School Lunchrooms,604,-78.65043831,35.82537972,M
2662278,04092030438,Jerk Man Island Cuisine (WCID #732),2161 S Wilmington ST ,,RALEIGH,NC,27603,(919) 943-7074,2019/08/21 04:00:00+00,Mobile Food Units,605,-78.63902655,35.752054,M
2662279,04092016825,SMASHBURGER,6679-105 FALLS OF NEUSE ROAD,,RALEIGH,NC,27615,(919) 870-9230,2014/12/03 05:00:00+00,Restaurant,544,-78.62317377,35.87493875,M
2662280,04092017895,Anjappar,101 Ledgestone WAY ,,CARY,NC,27519,,2018/07/26 04:00:00+00,Restaurant,609,-78.84803797,35.79230683,M
2662281,04092018861,Feng Cha,3037 Village Market PL ,,MORRISVILLE,NC,27560,(984) 333-0783,2022/05/02 04:00:00+00,Restaurant,556,-78.81800678,35.80706103,M
2662282,04092017901,Vaishno Bhog,810 E Chatham ST ,,CARY,NC,27560,(919) 678-3172,2018/07/11 04:00:00+00,Restaurant,616,-78.76305622,35.79140272,M
2662283,04092018243,PIZZA HUT #9210,321  N MAIN ST ,,HOLLY SPRINGS,NC,27540,(919) 346-9020,2019/12/03 05:00:00+00,Restaurant,624,-78.83511867,35.65582685,M
2662284,04092016824,WING STOP #816,7880 ALEXANDER PROMENADE PLACE,,RALEIGH,NC,27617,(919) 237-3919,2014/12/05 05:00:00+00,Restaurant,631,-78.77695631,35.91424375,M
2662285,04092025298,Pizza Hut Delivery #036624,4011 Capital BLVD ,,RALEIGH,NC,27604,(919) 790-8111,2019/12/03 05:00:00+00,Food Stand,633,-78.58372976,35.83623733,M
2662286,04092018496,Chick-fil-A #868,4621 Capital  BLVD ,,RALEIGH,NC,27604,(919) 850-2175,2020/11/13 05:00:00+00,Restaurant,634,-78.58118683,35.84746002,M
2662287,04092021900,FOOD LION #90 PRODUCE,4317 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 872-5376,2015/10/22 04:00:00+00,Food Stand,641,-78.61339277,35.84095998,M
2662288,04092018430,Dogwood Bar & Eatery,610 GLENWOOD AVE,,RALEIGH,NC,27603,(919) 977-3714,2020/09/01 04:00:00+00,Restaurant,646,-78.64681795,35.78777191,M
2662289,04092014473,Mackey's Pub,2101 S Main  ST ,STE 112,WAKE FOREST ,NC,27587,(919) 562-5570,2006/01/20 05:00:00+00,Restaurant,649,-78.53310077,35.94802112,M
2662290,04092025338,Lowes Foods #262 Meat/Seafood,687 MILLS PARK DR,,CARY,NC,27519,,2021/02/16 05:00:00+00,Food Stand,650,-78.89712096,35.80863645,M
2662291,04092300278,GRAND ASIA MEAT MARKET,1253 BUCK JONES RD ,,RALEIGH,NC,27606-3326,(919) 468-2988,2017/02/22 05:00:00+00,Meat Market,651,-78.74067496,35.76583498,M
2662292,04092018871,SUYU SUSHI,301 N SALEM ST ,,APEX,NC,27502,(919) 302-5827,2022/05/16 04:00:00+00,Restaurant,656,-78.85046886,35.73305629,M
2662293,04092141864,Garner Indoor Concession,2101 Spring Dr,,Garner ,NC,27529,(919) 395-0278,2022/04/05 04:00:00+00,Limited Food Service,665,-78.63736647,35.70995766,M
2662294,04092018672,Burger King #10775,636  W Gannon Ave,,ZEBULON,NC,27595,(919) 404-1091,2021/07/02 04:00:00+00,Restaurant,667,-78.32958448,35.82096151,M
2662295,04092110527,Garner High School Cafeteria,2101 Spring DR ,,GARNER,NC,27529,(919) 662-2379 ext. 23590,2018/06/28 04:00:00+00,Public School Lunchrooms,670,-78.63736647,35.70995766,M
2662296,04092017894,Which Wich #670,7202 Knightdale BLVD ,,KNIGHTDALE,NC,27545,(919) 373-8883,2018/07/26 04:00:00+00,Restaurant,672,-78.48704631,35.79788571,M
2662297,04092030290,TAQUERIA LA COSTENA (WCID #537),3905 GREEN LEVEL WEST RD ,"corner of Green Level West Rd &amp; Autumn Shade Dr",APEX,NC,27523,(919) 244-0786,2015/10/09 04:00:00+00,Mobile Food Units,676,-78.9125522,35.774781,M
2662298,04092141863,Garner Outdoor Concession,2101 Spring Dr,,Garner,NC,27529,(919) 395-0278,2022/04/05 04:00:00+00,Limited Food Service,684,-78.63736647,35.70995766,M
2662299,04092018634,Ish Deli,702 N PERSON ST,,RALEIGH,NC,27604,(919) 810-7451,2021/06/01 04:00:00+00,Restaurant,688,-78.63408794,35.78910376,M
2662300,04092017521,MCDONALDS #13159,1725 New Hope Church Rd,,RALEIGH,NC,27609,(919) 713-0903,2017/02/22 05:00:00+00,Restaurant,691,-78.60826495,35.83722719,M
2662301,04092018824,Primo Hoagies,141 PARK AT NORTH HILLS ST,Suite 111,RALEIGH,NC,27609,(919) 917-7111,2022/03/16 04:00:00+00,Restaurant,693,-78.63884173,35.83739486,M
2662302,04092110526,Vandora Springs Elementary School Cafeteria,1300 Vandora Springs RD ,,GARNER,NC,27529,,2018/07/23 04:00:00+00,Public School Lunchrooms,705,-78.62840113,35.699067,M
2662303,04092015549,BRAVO'S MEXICAN GRILL,208 GRANDE HEIGHTS DR ,,CARY,NC,27513,(919) 481-3811,2009/12/31 05:00:00+00,Restaurant,709,-78.78057473,35.80470311,M
2662304,04092030158,FOODLAND MOBILE FOOD UNIT (WCID #170),11 W JONES ST ,,RALEIGH,NC,27601,(919) 798-0590,2005/10/25 04:00:00+00,Mobile Food Units,711,-78.63943083,35.78220511,M
2662305,04092030454,Capones Chicago Eats  (WCID #750),8101 Holly Springs RD ,M-Sat 11-2,Raleigh ,NC,27606,(919) 757-9514,2019/12/09 05:00:00+00,Pushcarts,712,-78.76164101,35.70858774,M
2662306,04092018719,Union Special Downtown,401 FAYETTEVILLE ST,Suite 103,RALEIGH,NC,27601,(984) 200-3094 ext. 7004,2021/10/05 04:00:00+00,Restaurant,719,-78.63909101,35.77542096,M
2662307,04092030437,Captain John's Seafood (WCID #730),308 Southtown Circle,,ROLESVILLE,NC,27591,(919) 717-7598,2019/08/08 04:00:00+00,Mobile Food Units,720,-78.47039569,35.91648377,M
2662308,04092021890,FOOD LION #1496 PRODUCE,1777 W WILLIAMS ST ,,APEX,NC,27502,(919) 362-1986,2015/10/09 04:00:00+00,Food Stand,745,-78.87770701,35.75964934,M
2662309,04092021889,FOOD LION #2504 PRODUCE,1030-125 N ROGERS LN ,,RALEIGH,NC,27610,(919) 792-0321,2015/10/06 04:00:00+00,Food Stand,744,-78.54967347,35.79198567,M
2662310,04092021963,PUBLIX #1520 DELI,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016/05/23 04:00:00+00,Food Stand,749,-78.79652253,35.70711378,M
2662311,04092016440,CASE DINING HALL,240 JETER DR ,,RALEIGH,NC,27695,(919) 515-2100,2013/06/06 04:00:00+00,Restaurant,751,-78.67872571,35.78448231,M
2662312,04092018648,Five Guys #2,4120   Main at North Hills ST ,Ste 155,RALEIGH,NC,27609,(919) 787-7772,2021/06/07 04:00:00+00,Restaurant,755,-78.64297591,35.83719194,M
2662313,04092110467,NORTH WAKE COLLEGE & CAREER ACADEMY-CAFETERIA,931 Durham Hwy,,WAKE FOREST,NC,27587,(919) 570-2203,2007/08/21 04:00:00+00,Public School Lunchrooms,747,-78.54217531,35.9781402,M
2662314,04092025193,Cow Bar @ MSFH,411 W Morgan ST ,,RALEIGH,NC,27603,(702) 544-9413,2018/07/28 04:00:00+00,Food Stand,757,-78.6456917,35.77945516,M
2662315,04092018715,Foundation Senior Living Food Service,1437 Aversboro RD ,,GARNER,NC,27529,(919) 624-2564,2021/09/13 04:00:00+00,Restaurant,777,-78.61572011,35.69056999,M
2662316,04092014687,Jumbo China,13200 Falls of Neuse RD ,SUITE 121,RALEIGH,NC,27614,(919) 861-8858,2006/08/03 04:00:00+00,Restaurant,781,-78.55981965,35.9407555,M
2662317,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 847-0160 ext. 274,2009/12/30 05:00:00+00,Private School Lunchrooms,797,-78.62608851,35.88760817,M
2662318,04092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 834-2720,2018/07/25 04:00:00+00,Restaurant,798,-78.6456917,35.77945516,M
2662319,04092017186,STARBUCKS #25115,180 CABELA DR ,,GARNER,NC,27529,(919) 819-5059,2016/03/29 04:00:00+00,Restaurant,800,-78.58356211,35.69799194,M
2662320,04092018318,TASU #2,525 NEW WAVERLY  PL ,SUITE 103,CARY,NC,27518,(919) 977-4037,2020/02/11 05:00:00+00,Restaurant,804,-78.77756306,35.7385362,M
2662321,04092025265,Mama Crow's,500 E Davie  ST ,STE 116,RALEIGH,NC,27601,,2019/06/18 04:00:00+00,Food Stand,808,-78.63206132,35.77487463,M
2662322,04092021950,KANGAROO EXPRESS #2720869,8500 HARPS MILL RD ,,RALEIGH,NC,27615-3834,(919) 872-0614,2016/03/16 04:00:00+00,Food Stand,826,-78.60165311,35.89132184,M
2662323,04092021936,CIRCLE K #3146,1720  N MAIN ST ,,FUQUAY VARINA,NC,27526,,2016/02/25 05:00:00+00,Food Stand,828,-78.75810908,35.59678082,M
2662324,04092014599,Poppy Seed Market,8801-107 Lead Mine RD ,,RALEIGH,NC,27615,(919) 870-4997,2006/05/31 04:00:00+00,Restaurant,815,-78.65799167,35.90484309,M
2662325,04092018901,Sushi One,8470 Honeycutt  RD ,Suite 100,RALEIGH,NC,27616,(919) 615-3209,2022/07/05 04:00:00+00,Restaurant,831,-78.62166097,35.89510574,M
